y_train;y_train_pred;y_test;y_test_pred
4.87804878;1122.16;;747.8408203125
13.15;5.354330709;;-14.4091796875
4.341463415;16.05;;84.1533203125
0.95;5.365853659;;208.0908203125
15.71428571;2.047244094;;108.3408203125
7.857142857;203.82;;747.8408203125
7.165354331;17.33333333;;15.0908203125
4.804878049;6.614173228;;138.4033203125
5.0;6.496062992;;10.9033203125
10.04761905;8.073170732;;70.0908203125
7.756097561;6.048780488;;76.0908203125
133.83;9.56097561;;76.0908203125
0.99;9.268292683;;26.1533203125
19.7;4.68503937;;114.3408203125
11.05;4.212598425;;116.0908203125
8.070866142;13.04761905;;-114.0966796875
5.472440945;0.58;;767.5908203125
7.85;0.39;;1536.4345703125
2.637795276;7.519685039;;-87.6591796875
9.317073171;14.14285714;;-58.1591796875
8.365853659;13.61904762;;-58.1591796875
1.55;14.80487805;;26.1533203125
5.097560976;0.94;;-872.9404296875
8.238095238;0.89425;;-325.1591796875
7.761904762;17.42857143;;-58.1591796875
6.338582677;8.12195122;;4.3408203125
4.68503937;6.951219512;;-59.0966796875
0.11;0.35;;8.7158203125
21.76190476;9.780487805;;26.1533203125
16.8;4.05511811;;-15.9091796875
6.57480315;76.79;;8.7158203125
6.102362205;5.866141732;;3.1533203125
4.527559055;15.7;;169.4033203125
7.390243902;7.390243902;;76.0908203125
9.212598425;6.771653543;;132.1533203125
6.929133858;5.0;;-14.4091796875
94.2;13.0;;40.6533203125
4.803149606;181.6901408;;-693.5341796875
0.99475;6.731707317;;208.0908203125
29.4;8.149606299;;132.1533203125
1120.37;1.87;;72.9658203125
16.2195122;8.761904762;;7.5908203125
5.243902439;9.80952381;;7.5908203125
13.61904762;14.4;;167.9033203125
92.2;6.811023622;;-22.1591796875
29.8;14.6;;84.1533203125
20.75;12.87401575;;138.4033203125
58.14;5.219512195;;200.3408203125
12.80952381;0.97925;;-323.6591796875
4.409448819;79.1;;-101.4091796875
17.33333333;5.472440945;;3.1533203125
6.390243902;7.598425197;;-80.1591796875
9.212598425;0.9955;;-338.1591796875
0.98375;8.56097561;;76.0908203125
18.14285714;19.76190476;;13.5908203125
12.7;12.66666667;;-36.3466796875
0.531764706;12.76190476;;-58.1591796875
17.66666667;5.275590551;;9.4033203125
13.07086614;8.951219512;;77.8408203125
8.976377953;14.0952381;;13.5908203125
8.464566929;12.83464567;;60.6533203125
10.0;0.0;;438.5908203125
6.220472441;8.228346457;;-14.4091796875
12.36220472;4.527559055;;116.0908203125
15.09756098;5.707317073;;76.0908203125
14.65;19.0;;15.0908203125
4.682926829;7.795275591;;138.4033203125
7.952755906;5.275590551;;-81.6591796875
7.857142857;24.76190476;;-50.4091796875
5.354330709;10.51181102;;132.1533203125
13.03149606;15.09756098;;77.8408203125
0.8;757.94;;747.8408203125
0.95;18.66141732;;62.1533203125
0.8775;9.921259843;;3.1533203125
4.645669291;1.052;;646.0908203125
7.598425197;13.55;;167.9033203125
6.048780488;0.81175;;-331.1591796875
13.31707317;12.3;;169.4033203125
