y_test;y_test_pred;y_test_pred_proba
0;0;0.5222896763008931
1;0;0.6308683038890516
0;0;0.5211942444864894
1;1;0.42434498488783134
0;1;0.4354837849047824
0;0;0.5224110011097474
1;0;0.6340776401369016
0;0;0.6217813086682672
0;0;0.5251355605001209
1;1;0.3551136953243232
1;1;0.35497893549501724
1;1;0.4385741941561106
1;1;0.30338132032100923
1;1;0.3549358620070117
0;0;0.5717694801989031
1;0;0.5125801225603895
1;1;0.4045522994370494
0;0;0.5350383557103371
1;0;0.6236461359858305
0;1;0.4349709578473842
1;0;0.633385881130199
1;0;0.6321387183596273
0;1;0.3361098787418296
0;1;0.29783166204436706
1;1;0.2987367426242988
0;1;0.425150666034868
1;1;0.25120753024500825
0;0;0.622317096034032
0;1;0.484357193293084
0;1;0.4348426179703646
0;1;0.40451467273919045
0;0;0.633231019625099
0;0;0.5238075080529774
0;0;0.6215915415610195
0;0;0.7182207831158975
0;0;0.5370031006934234
0;0;0.5251224581746378
0;0;0.7141527323138942
1;1;0.43000227441642347
1;0;0.6199446256899931
1;0;0.5278203873263192
1;1;0.36017245702702144
0;0;0.6226784884812424
0;0;0.6254541699928754
0;0;0.5422541593415773
0;1;0.43788778827617314
1;1;0.4242483747376836
1;0;0.602053179272564
0;0;0.640538548261874
1;1;0.4248516693451095
1;1;0.35999376636759367
0;0;0.7170924470982563
0;0;0.7155633144922372
0;0;0.6336943633093037
0;0;0.6247560767801628
0;0;0.6337613361524536
0;1;0.3113258293888206
1;0;0.7120196235791272
1;1;0.42328273401221256
0;1;0.25102537349757553
1;0;0.6212579206362787
0;0;0.5276469711897996
1;1;0.4395907297895742
1;1;0.42398435037774945
1;1;0.2983442494837812
1;0;0.6926989733649809
1;1;0.29895368570635794
0;1;0.4844028949312652
0;0;0.5301433321290532
0;0;0.5259455922967842
1;1;0.4381028797655538
1;1;0.4379680092790062
0;0;0.6036855113297803
0;0;0.5241683878054376
1;1;0.4293583974672429
0;1;0.5
0;1;0.48423188458598176
1;1;0.35172120007219904
0;1;0.3009553632740498
0;0;0.5213162700890394
1;1;0.29840784862489683
0;0;0.7154210714512709
0;0;0.6265050692052934
