,y_train,y_lda_train_pred,y_lda_train_pred_proba
618,0,0,0.680750180859562
1475,0,0,0.6378076688872278
1036,1,1,0.14011509915737852
910,0,0,0.5957489376627494
1035,1,1,0.14026791709102937
651,0,0,0.5689985808736507
458,1,1,0.13874713729537613
375,1,1,0.10357440250291183
333,1,1,0.15878983902948196
1210,0,0,0.6793688841643071
1385,1,0,0.6147757116836337
1301,0,0,0.7589361109008558
846,0,0,0.5243662853633515
1452,1,1,0.4467089997989526
617,0,0,0.6810256479868934
328,1,1,0.15963840781917682
318,1,1,0.07891067651509576
1205,1,1,0.11005604905331845
1063,0,1,0.2612334711752883
167,1,1,0.436792641138924
12,0,0,0.9104712876479388
171,1,1,0.43332215419794373
260,1,1,0.07980434801805081
899,1,1,0.3995672605809468
943,1,1,0.3027088121510001
1328,1,1,0.26435819636793334
138,0,0,0.7728710408763354
549,0,0,0.9558975859453586
811,0,0,0.9580125127150793
1073,0,1,0.4260200128143792
1050,0,1,0.2644267206381943
558,0,0,0.9554140514426791
139,0,0,0.6181294587707951
1368,1,0,0.6198671494821462
1102,1,1,0.1001414226402817
224,1,1,0.3228167607835668
1278,1,0,0.5907381015973381
409,1,1,0.34567716724719766
325,1,1,0.16014931006047572
299,0,0,0.7959902284369909
1088,1,1,0.1017522490651741
1546,1,1,0.29917737010593604
1418,0,0,0.7182446444897186
1453,1,1,0.44639567134809777
193,0,1,0.4272956296034407
1501,0,0,0.7836450451774388
573,0,0,0.9781154382752139
503,1,0,0.7765696175831374
605,0,0,0.6843213551876892
832,1,1,0.33320918224270546
3,0,1,0.14895893242393043
816,0,0,0.9577567876636773
467,1,1,0.2529371985124157
321,1,1,0.07863467328035678
5,0,0,0.9737818048178487
222,0,1,0.3233713074751574
547,0,0,0.9560043567877898
818,0,0,0.9576540813283956
39,1,1,0.057611423884351254
542,0,0,0.9562702060462396
242,1,1,0.3178483848511856
136,0,0,0.9376463252425078
1240,0,0,0.8208087519311353
942,1,1,0.30297648156409995
845,0,0,0.5246824729678439
1397,0,0,0.5382743186497139
1113,1,1,0.19772052432093767
921,0,0,0.7554649266657218
1428,0,0,0.842537426592314
581,1,1,0.4987831426574111
1541,1,1,0.300508160150762
861,0,0,0.6969176296325148
1530,1,1,0.30344774090047844
376,1,1,0.10345675049769165
314,1,1,0.07928005865474996
442,0,1,0.06821435643535867
319,1,1,0.07881857715985541
904,0,0,0.597579558182809
867,0,0,0.6953084918775402
1182,1,1,0.05651115402903595
424,1,1,0.34138853093512345
553,0,0,0.9556833023438841
594,0,1,0.4946629912994924
1233,0,0,0.82211032990743
706,0,1,0.4592549265459275
841,0,0,0.5259470229844933
1273,1,0,0.5922697745419588
679,1,0,0.7410178684341062
227,1,1,0.32198587494372755
1090,1,1,0.10152073226401359
888,1,1,0.4029176826898422
1043,1,1,0.13904927262408429
1493,0,0,0.7853596965501355
66,0,0,0.7188416077965437
393,1,1,0.20230530638468047
579,0,0,0.9779520163147674
24,0,0,0.9682966157383949
211,1,1,0.3264301669863089
1211,0,0,0.6790926604543828
1364,1,1,0.43534364327928343
536,0,0,0.90751134995728
1443,0,0,0.8399980107843538
914,0,0,0.5945270385283646
85,0,0,0.9058212909918877
1412,0,0,0.719781468951427
272,1,1,0.1609435367197718
1004,0,1,0.27024511521247785
1052,0,1,0.26393382765710294
1490,0,0,0.786000139482649
630,0,0,0.8169988231480027
1075,0,1,0.425400106617564
1462,1,1,0.44357766072699545
505,0,0,0.9793149999604938
273,1,1,0.16077240561735662
1013,0,0,0.8558221587257344
362,1,1,0.2789071517760454
622,0,0,0.8185103589508171
2,0,0,0.8135800851559178
6,0,0,0.9673149305271741
311,1,1,0.0795581315540983
1245,0,0,0.8198745036101138
1474,0,0,0.6381004910752488
665,0,0,0.7444095275110263
364,1,1,0.2783974828855379
1544,1,1,0.2997092808271826
215,1,1,0.3253161269518998
743,0,0,0.7946006637968251
27,0,1,0.15201454811945114
1125,1,1,0.1953183272805189
950,1,1,0.30083888096559763
938,0,0,0.7514614600710796
638,0,0,0.8154775365098971
820,0,0,0.9575511363496713
718,1,1,0.45547919537364956
691,0,0,0.8569504802018407
907,0,0,0.5966645844400473
624,0,0,0.8181333882547512
932,0,0,0.7528794417009352
256,1,1,0.24733597168651278
25,0,0,0.983134940629662
336,1,1,0.15828245636095306
572,0,0,0.9781425598973809
47,0,0,0.9279233997995784
106,0,1,0.4694876732769132
349,1,1,0.28223390565610074
55,1,0,0.9346808441041938
886,1,1,0.40352783483488897
213,0,1,0.3258729010355127
120,0,0,0.9495308150589752
1033,1,1,0.14057397138967231
1118,1,1,0.1967169130420766
72,0,1,0.3051577585362456
1359,1,1,0.43690252776874683
1172,1,1,0.057190928348168524
787,0,0,0.9171150321444179
45,1,1,0.05719981978689459
1324,0,0,0.8666702742102755
523,0,0,0.9088854485314454
952,1,1,0.30030582518365323
1333,1,1,0.26312727469378105
1046,1,1,0.13859457481174797
869,0,0,0.6947710472874659
533,0,0,0.9078300921497271
1187,1,1,0.05617412196981042
603,0,0,0.6848688538407995
465,1,1,0.25341662569228207
893,1,1,0.40139362001998635
1336,1,1,0.26239049285193317
849,0,0,0.5234176063452514
1027,0,0,0.6300182968382106
60,0,0,0.7203764437983671
970,1,1,0.4850882093726585
92,0,0,0.7492996117534663
