,y_train,y_train_pred,y_train_pred_proba
1210,0,1,0.4093651011478329
1385,1,1,0.3677047663472191
1301,0,1,0.42952301302421597
846,0,0,0.6177390738758102
1452,1,1,0.5
617,0,0,0.5244832569755591
328,1,1,0.426281192155334
318,1,1,0.4249400424636571
1205,1,1,0.3079339408995394
1063,0,1,0.34412355937312383
167,1,0,0.6824094246205539
12,0,0,0.5796816211065478
171,1,0,0.7525958552274125
260,1,1,0.2604534588482653
899,1,0,0.620109459820105
943,1,0,0.6258210723676919
1328,1,1,0.3668323931796143
138,0,0,0.7653241088161108
549,0,0,0.6196593428824951
811,0,0,0.7096929836648789
1073,0,1,0.3438237759710898
1050,0,1,0.34355642974210004
558,0,0,0.6206869502911128
139,0,0,0.7965718039211964
1368,1,1,0.3672244822549989
1102,1,1,0.35832896303766887
224,1,1,0.3090197787565198
1278,1,1,0.42875676445025906
409,1,1,0.43323508342290573
325,1,1,0.4258989061945138
299,0,0,0.5269583341437366
1088,1,1,0.357681107256775
1546,1,1,0.44244259357689836
1418,0,1,0.48650731943416226
1453,1,1,0.5
193,0,0,0.718835656796073
1501,0,1,0.5
573,0,0,0.6216800639387079
503,1,0,0.5265736220344258
605,0,0,0.5231044968439439
832,1,0,0.6164304852576789
3,0,0,0.6573083390171123
816,0,0,0.7101136808785613
467,1,1,0.442773448251402
321,1,1,0.4253232724733338
5,0,0,0.7206933903093223
222,0,1,0.30889315404640416
547,0,0,0.6194299135213851
818,0,0,0.7102812403723194
39,1,0,0.6499245681340776
542,0,0,0.6188546368574243
242,1,1,0.31015756934616684
136,0,0,0.6212543447558987
1240,0,1,0.41049813844868427
942,1,0,0.6257419228460778
845,0,0,0.6176503301217222
1397,0,1,0.486052082343635
1113,1,1,0.3588944190233283
921,0,0,0.6212212603169023
1428,0,1,0.4857761423117446
581,1,0,0.5202503935863485
1541,1,1,0.4423826730720643
861,0,0,0.6182972734648625
1530,1,1,0.44224505716595675
376,1,1,0.4298035100464991
314,1,1,0.42442845084466274
442,0,1,0.4404306923738436
319,1,1,0.42506783005625126
904,0,0,0.6205840719336733
867,0,0,0.6188182866960598
1182,1,1,0.30781663402479253
424,1,1,0.4350776007175042
553,0,0,0.6201170324916788
594,0,0,0.5217669351263668
1233,0,1,0.41025369779735066
706,0,0,0.5342973917424715
841,0,0,0.6172943663369397
1273,1,1,0.42859880053169963
679,1,0,0.5290012749425912
227,1,1,0.3092096413067877
1090,1,1,0.3577743647899502
888,1,0,0.6191810750044215
1043,1,1,0.3431886827901808
1493,0,1,0.5
66,0,0,0.5539453829190251
393,1,1,0.43198805505740523
579,0,0,0.6223514552282333
24,0,0,0.6850571383897588
211,1,1,0.3081960261957584
1211,0,1,0.4094017148935765
1364,1,1,0.3679822451073221
536,0,0,0.6181037232113819
1443,0,1,0.4860245632851129
914,0,0,0.6214125497630536
85,0,0,0.7964784921441385
1412,0,1,0.486397986014746
272,1,1,0.2612229405202118
1004,0,1,0.35853201620648506
1052,0,1,0.3436441907641243
1490,0,1,0.5
