y_train;y_train_pred;y_train_pred_proba
0;0;0.5945270385283599
0;0;0.905821290991814
0;0;0.7197814689513604
1;1;0.16094353671977624
0;1;0.2702451152120747
0;1;0.2639338276570097
0;0;0.7860001394825529
0;0;0.8169988231480402
0;1;0.42540010661744676
1;1;0.4435776607266666
0;0;0.9793149999604619
1;1;0.16077240561736095
0;0;0.8558221587255408
1;1;0.2789071517759958
0;0;0.8185103589508375
0;0;0.8135800851556254
0;0;0.9673149305271274
1;1;0.07955813155400104
0;0;0.8198745036100965
0;0;0.6381004910751331
0;0;0.744409527511055
1;1;0.27839748288544264
1;1;0.29970928082707005
1;1;0.32531612695178636
0;0;0.7946006637968313
0;1;0.1520145481193219
1;1;0.19531832728040777
1;1;0.30083888096537836
0;0;0.7514614600710547
0;0;0.8154775365099176
0;0;0.9575511363496595
1;1;0.4554791953734333
0;0;0.8569504802018575
0;0;0.59666458444007
0;0;0.8181333882547716
0;0;0.7528794417009316
1;1;0.24733597168634935
0;0;0.983134940629658
1;1;0.15828245636091265
0;0;0.9781425598973807
0;0;0.9279233997996087
0;1;0.46948767327624474
1;1;0.2822339056560278
1;0;0.9346808441041705
1;1;0.4035278348346655
0;1;0.3258729010353991
0;0;0.9495308150589838
1;1;0.1405739713895252
1;1;0.1967169130419648
0;1;0.30515775853669014
1;1;0.43690252776867067
1;1;0.05719092834814199
0;0;0.9171150321444067
1;1;0.05719981978686939
0;0;0.8666702742102357
0;0;0.9088854485313813
1;1;0.3003058251834342
1;1;0.26312727469356667
1;1;0.13859457481159576
0;0;0.6947710472874375
0;0;0.9078300921496625
1;1;0.05617412196978455
0;0;0.6848688538408321
1;1;0.2534166256921708
1;1;0.4013936200197631
1;1;0.26239049285170835
0;0;0.5234176063452465
0;0;0.6300182968377953
0;0;0.7203764437982314
1;1;0.4850882093726252
0;0;0.7492996117534994
0;0;0.7441682360015756
0;0;0.8351634773298687
1;1;0.47935700881984356
1;1;0.1595786047172283
0;0;0.8563276940166953
1;1;0.27967272695744816
1;0;0.8346905536124519
1;0;0.5925758951309145
1;1;0.33124034271848024
0;0;0.8289731120110526
1;1;0.33808914520321454
0;1;0.4241609995004795
1;0;0.7258619647123135
0;0;0.6768783656075396
0;0;0.9117907479913974
0;0;0.7939792133490287
1;1;0.05678214746091392
0;1;0.3283844547381384
1;1;0.39926313718543205
0;0;0.9077606441217599
1;1;0.05698619351534906
0;0;0.956110881008983
1;1;0.27228759987743734
1;1;0.25970035540580905
0;0;0.6766010176740063
0;0;0.751224601123489
1;1;0.3998714614331551
0;0;0.6621005622761158
0;0;0.877350107902376
1;0;0.6598012556605455
1;0;0.9342354931428007
1;0;0.5937996567937492
1;0;0.5034573359748222
0;0;0.9052489168813336
0;0;0.9563231916357988
0;0;0.9581143877293878
1;1;0.2498355722268002
0;0;0.6576358274217291
1;1;0.08092873469578798
1;1;0.0799302814388908
1;1;0.14057511924551191
0;0;0.9049221833137556
1;1;0.15862056503083422
0;0;0.7827840090631302
0;0;0.5748494532374147
0;1;0.026694189140965663
1;1;0.299443257843078
0;0;0.647108471413441
1;0;0.6757682291043297
0;0;0.5933039673615879
1;1;0.3422442120401087
1;0;0.5448484519604546
0;1;0.0688618494282296
1;0;0.5721383351767955
0;0;0.5363832198023257
0;0;0.8416946158843857
0;0;0.7172172541326703
1;0;0.7953718995306281
1;1;0.4390870552043262
0;0;0.8672551775062451
1;0;0.5904315545585878
1;0;0.835686407047449
0;0;0.6482656607731085
1;1;0.2033302117647776
1;1;0.31977568627945363
0;0;0.7587040880098528
1;1;0.42120721780906445
1;1;0.0801169518959618
0;0;0.6961136608814196
1;1;0.4949971497722019
1;1;0.16385933166200195
0;0;0.7424750144326286
1;1;0.08083448669995141
1;1;0.3366720315133276
0;0;0.820995146406508
1;0;0.7610134813833157
0;0;0.9139656821683362
0;0;0.7533508927639181
0;1;0.15103657806864168
0;0;0.9159512061273443
1;1;0.33441075479587823
1;1;0.1402690628556732
1;1;0.14072835679252482
0;0;0.8341136118193785
1;1;0.45610814047149795
1;1;0.11055372450035739
0;0;0.7202926046848394
0;0;0.661872958029531
1;1;0.056308707346315656
1;0;0.8236796597158942
0;0;0.66223603897246
0;0;0.5939156485714632
1;1;0.3377798695535257
1;1;0.13889870425004258
0;1;0.43953596829540886
0;0;0.7417471113272867
0;0;0.7825683635970283
1;1;0.19631654706605683
0;1;0.06869944458376032
0;0;0.8342889606606939
0;0;0.5711736353799046
0;0;0.6966497736033596
0;0;0.6796449822738573
1;0;0.6601684866602634
1;0;0.8194997415266583
1;1;0.05739635396442144
1;1;0.20006410287395415
1;1;0.43596704546348575
0;0;0.8036409849296662
0;0;0.8196871985138189
0;0;0.7328795883015249
0;0;0.6832248229185036
1;0;0.6183723476769434
0;0;0.8574160926421851
0;0;0.8422007409495873
1;1;0.33490140684989145
0;0;0.9055746447953541
0;1;0.4238513710078037
1;1;0.27379747362948625
1;1;0.15940864921368636
0;0;0.5224687583211441
0;0;0.8328820060514971
0;1;0.26245868904633385
1;1;0.31894894113522265
1;1;0.32309397194194844
0;0;0.803678348731528
1;1;0.4438905971794229
1;1;0.1038100615587132
1;0;0.588897769334178
0;1;0.46106826892250274
1;1;0.05685008640508593
1;1;0.057054361829736555
1;1;0.08074033882109932
1;1;0.1661299682276518
0;0;0.7185011373564603
1;1;0.4825552684304599
0;1;0.14799718949468188
1;1;0.1401162438771706
1;1;0.4860382667632146
1;1;0.4586253011823911
1;1;0.08027109824586065
1;1;0.40474903311270305
0;1;0.4949799074172736
1;1;0.20312492175766095
0;0;0.8219248447816587
1;0;0.8688524626823592
0;0;0.9554680260909667
0;0;0.5963594433388879
1;1;0.25994417200978825
0;0;0.7552306403028354
1;1;0.13844441962908338
0;0;0.6511510029268718
0;0;0.8398275432236165
0;0;0.8038783046016241
0;0;0.957237031637502
